person_id,name,role,community,age
0,Francesco Russo,Peripheral,0,50
1,Paolo Colombo,Broker,0,41
2,Angelo Colombo,Coordinator,0,46
3,Giovanni Greco,Coordinator,0,46
4,Pietro Ricci,Enabler,0,56
5,Luigi Bianchi,Peripheral,0,61
6,Salvatore Bruno,Peripheral,0,29
7,Giuseppe Bruno,Peripheral,0,27
8,Antonio Bianchi,Peripheral,0,58
9,Giuseppe Ferrari,Broker,0,34
10,Angelo Ferrari,Peripheral,0,40
11,Francesco Bruno,Peripheral,0,40
12,Francesco Ricci,Broker,0,57
13,Giovanni Esposito,Peripheral,0,25
14,Pietro Gallo,Broker,0,29
15,Luigi Rossi,Broker,0,55
16,Pietro Bruno,Enabler,0,40
17,Mario Gallo,Peripheral,0,37
18,Carlo Ferrari,Peripheral,0,61
19,Antonio Romano,Enabler,0,64
20,Mario Rossi,Enabler,0,32
21,Carlo Ricci,Peripheral,0,26
22,Paolo Gallo,Peripheral,0,63
23,Paolo Esposito,Peripheral,0,58
24,Domenico Bruno,Peripheral,0,42
25,Domenico Colombo,Peripheral,0,33
26,Marco Rossi,Peripheral,0,53
27,Vincenzo Ferrari,Enabler,0,45
28,Pietro Marino,Peripheral,0,28
29,Paolo Rossi,Peripheral,0,28
30,Luigi Vitale,Broker,0,52
31,Angelo Romano,Broker,0,31
32,Salvatore Rossi,Peripheral,0,35
33,Antonio Greco,Broker,0,33
34,Giuseppe Vitale,Peripheral,0,34
35,Antonio Greco,Peripheral,0,26
36,Salvatore Gallo,Enabler,0,30
37,Domenico Ricci,Enabler,0,27
38,Francesco Colombo,Peripheral,0,34
39,Giuseppe Bianchi,Peripheral,0,63
40,Marco Conti,Peripheral,0,49
41,Luigi Ricci,Broker,0,54
42,Antonio Gallo,Peripheral,0,56
43,Salvatore Marino,Peripheral,0,30
44,Mario Rossi,Enabler,0,34
45,Carlo Bruno,Peripheral,0,34
46,Domenico Colombo,Enabler,0,44
47,Giovanni Marino,Peripheral,0,27
48,Francesco Gallo,Peripheral,0,40
49,Pietro Russo,Peripheral,0,42
50,Giovanni Ricci,Coordinator,0,60
51,Pietro Conti,Peripheral,0,64
52,Salvatore Rossi,Broker,0,39
