person_id,name,role,community,age
0,Domenico Russo,Peripheral,0,30
1,Giuseppe Gallo,Enabler,0,49
2,Giovanni Esposito,Peripheral,0,47
3,Salvatore Ferrari,Peripheral,0,36
4,Carlo Russo,Peripheral,0,37
5,Domenico Gallo,Peripheral,0,60
6,Mario Russo,Peripheral,0,63
7,Luigi Colombo,Peripheral,0,58
8,Giuseppe Rossi,Peripheral,0,30
9,Francesco Esposito,Peripheral,0,62
10,Salvatore Marino,Peripheral,0,64
11,Luigi Rossi,Peripheral,0,32
12,Mario Esposito,Peripheral,0,32
13,Carlo Bruno,Peripheral,0,64
14,Carlo Marino,Enabler,0,57
15,Pietro Esposito,Peripheral,0,58
16,Angelo Greco,Enabler,0,39
17,Giovanni Conti,Enabler,0,60
18,Marco Rossi,Coordinator,0,59
19,Paolo Conti,Peripheral,0,46
20,Antonio Gallo,Peripheral,0,47
21,Pietro Romano,Enabler,0,64
22,Giovanni Ferrari,Enabler,0,46
23,Salvatore Conti,Peripheral,0,29
24,Vincenzo Russo,Broker,0,55
25,Francesco Colombo,Peripheral,0,37
26,Francesco Romano,Peripheral,0,52
27,Marco Romano,Peripheral,0,44
28,Luigi Bianchi,Peripheral,0,57
29,Paolo Rossi,Peripheral,0,40
30,Carlo Ricci,Enabler,0,53
31,Mario Russo,Broker,0,47
32,Pietro Russo,Peripheral,0,48
33,Mario Bianchi,Peripheral,0,58
34,Marco Bruno,Peripheral,0,31
35,Luigi Vitale,Peripheral,0,62
36,Vincenzo Greco,Peripheral,0,61
37,Salvatore Gallo,Peripheral,0,28
38,Francesco Rossi,Enabler,0,58
39,Domenico Esposito,Peripheral,0,46
40,Paolo Bianchi,Broker,0,29
41,Francesco Vitale,Peripheral,0,47
42,Salvatore Vitale,Coordinator,0,39
43,Francesco Colombo,Peripheral,0,55
44,Giovanni Ricci,Peripheral,0,33
45,Domenico Vitale,Peripheral,0,49
46,Vincenzo Ferrari,Enabler,0,49
47,Vincenzo Romano,Peripheral,0,45
48,Salvatore Bruno,Peripheral,0,33
49,Giovanni Gallo,Enabler,0,62
50,Domenico Bruno,Enabler,0,46
51,Francesco Greco,Peripheral,0,47
52,Domenico Ferrari,Peripheral,0,28
53,Mario Gallo,Peripheral,0,53
54,Salvatore Ferrari,Peripheral,0,39
55,Angelo Colombo,Peripheral,0,25
56,Giovanni Bruno,Peripheral,0,54
57,Carlo Marino,Enabler,0,53
58,Salvatore Bruno,Peripheral,0,44
59,Vincenzo Vitale,Peripheral,0,57
60,Paolo Conti,Peripheral,0,60
61,Giuseppe Esposito,Broker,0,46
62,Marco Rossi,Enabler,0,37
63,Paolo Romano,Peripheral,0,31
64,Pietro Bianchi,Peripheral,0,32
65,Francesco Esposito,Enabler,0,52
66,Luigi Gallo,Peripheral,0,33
67,Vincenzo Esposito,Enabler,0,49
68,Domenico Ricci,Broker,0,40
69,Pietro Bruno,Broker,0,34
70,Angelo Ferrari,Peripheral,0,35
71,Giovanni Ferrari,Peripheral,0,55
72,Salvatore Gallo,Enabler,0,36
73,Mario Marino,Peripheral,0,55
74,Giovanni Gallo,Enabler,0,38
75,Luigi Colombo,Peripheral,0,56
76,Luigi Colombo,Peripheral,0,41
77,Vincenzo Esposito,Peripheral,0,59
78,Antonio Marino,Broker,0,25
79,Angelo Russo,Peripheral,0,53
80,Paolo Rossi,Enabler,0,28
81,Marco Russo,Peripheral,0,47
